ArmorId,_clone,PowerLevel,BallisticArmor,PhysicalArmor,BallisticArmorDegraded,PhysicalArmorDegraded,MaxArmorPoints,InitPenalty,MovementRate,CarryCapacity,_comment
901000,22200,1,74,74,20,20,1,0,0,2,adaptive tier PL 1 (clone of 22200)
901001,22200,2,75,75,22,22,1,0,0,2,adaptive tier PL 2 (clone of 22200)
901002,22200,3,76,76,24,24,1,0,0,2,adaptive tier PL 3 (clone of 22200)
901003,22200,4,76,76,26,26,1,0,0,2,adaptive tier PL 4 (clone of 22200)
901004,22200,5,77,78,28,28,1,0,0,2,adaptive tier PL 5 (clone of 22200)
901005,22200,6,78,78,30,30,1,0,0,2,adaptive tier PL 6 (clone of 22200)
901006,22200,7,79,79,32,32,1,0,0,2,adaptive tier PL 7 (clone of 22200)
901007,22200,8,79,79,33,33,1,0,0,2,adaptive tier PL 8 (clone of 22200)
901008,22200,9,80,80,35,35,1,0,0,2,adaptive tier PL 9 (clone of 22200)
901009,22200,10,81,81,37,37,1,0,0,2,adaptive tier PL 10 (clone of 22200)
901010,22200,11,81,81,38,38,1,0,0,2,adaptive tier PL 11 (clone of 22200)
901011,22200,12,82,82,40,40,1,0,0,2,adaptive tier PL 12 (clone of 22200)
901012,22200,13,82,82,41,41,1,0,0,2,adaptive tier PL 13 (clone of 22200)
901013,22200,14,83,83,43,43,1,0,0,2,adaptive tier PL 14 (clone of 22200)
901014,22200,15,84,84,44,44,1,0,0,2,adaptive tier PL 15 (clone of 22200)
901015,22200,16,84,84,46,46,1,0,0,2,adaptive tier PL 16 (clone of 22200)
901016,22200,17,85,85,47,47,1,0,0,2,adaptive tier PL 17 (clone of 22200)
901017,22200,18,85,85,49,49,1,0,0,2,adaptive tier PL 18 (clone of 22200)
901018,22200,19,86,86,50,50,1,0,0,2,adaptive tier PL 19 (clone of 22200)
901019,22200,20,86,86,51,51,1,0,0,2,adaptive tier PL 20 (clone of 22200)
901060,135,1,82,77,35,25,5,0,0,2,drone-infantry tier PL 1 (clone of 135)
901061,135,2,82,77,35,25,5,0,0,2,drone-infantry tier PL 2 (clone of 135)
901062,135,3,82,77,35,25,5,0,0,2,drone-infantry tier PL 3 (clone of 135)
901063,135,4,82,77,35,25,5,0,0,2,drone-infantry tier PL 4 (clone of 135)
901064,135,5,82,77,35,25,5,0,0,2,drone-infantry tier PL 5 (clone of 135)
901065,135,6,82,77,35,25,5,0,0,2,drone-infantry tier PL 6 (clone of 135)
901066,135,7,82,77,35,25,5,0,0,2,drone-infantry tier PL 7 (clone of 135)
901067,135,8,82,77,35,25,5,0,0,2,drone-infantry tier PL 8 (clone of 135)
901068,135,9,82,77,35,25,5,0,0,2,drone-infantry tier PL 9 (clone of 135)
901069,135,10,82,77,35,25,5,0,0,2,drone-infantry tier PL 10 (clone of 135)
901070,135,11,83,79,38,27,5,0,0,2,drone-infantry tier PL 11 (clone of 135)
901071,135,12,84,80,40,30,5,0,0,2,drone-infantry tier PL 12 (clone of 135)
901072,135,13,85,81,43,32,6,0,0,2,drone-infantry tier PL 13 (clone of 135)
901073,135,14,85,82,45,34,6,0,0,2,drone-infantry tier PL 14 (clone of 135)
901074,135,15,86,83,47,36,6,0,0,2,drone-infantry tier PL 15 (clone of 135)
901075,135,16,86,84,49,38,6,0,0,2,drone-infantry tier PL 16 (clone of 135)
901076,135,17,87,85,51,40,7,0,0,2,drone-infantry tier PL 17 (clone of 135)
901077,135,18,88,86,53,42,7,0,0,2,drone-infantry tier PL 18 (clone of 135)
901078,135,19,88,86,55,43,7,0,0,2,drone-infantry tier PL 19 (clone of 135)
901079,135,20,89,87,57,45,7,0,0,2,drone-infantry tier PL 20 (clone of 135)
22000,,1,0,0,36,36,0,0,0,2,"guard-standard tier PL 1 - shipped row, retuned"
22001,,2,0,0,38,38,0,0,0,2,"guard-standard tier PL 2 - shipped row, retuned"
22002,,3,0,0,40,39,0,0,0,2,"guard-standard tier PL 3 - shipped row, retuned"
22003,,4,0,0,41,41,0,0,0,2,"guard-standard tier PL 4 - shipped row, retuned"
22004,,5,0,0,43,42,0,0,0,2,"guard-standard tier PL 5 - shipped row, retuned"
22005,,6,0,0,44,44,0,0,0,2,"guard-standard tier PL 6 - shipped row, retuned"
22006,,7,0,0,46,45,0,0,0,2,"guard-standard tier PL 7 - shipped row, retuned"
22007,,8,0,0,47,46,0,0,0,2,"guard-standard tier PL 8 - shipped row, retuned"
22008,,9,0,0,49,48,0,0,0,2,"guard-standard tier PL 9 - shipped row, retuned"
22009,,10,0,0,50,49,0,0,0,2,"guard-standard tier PL 10 - shipped row, retuned"
22010,22009,11,0,0,51,50,0,0,0,2,guard-standard tier PL 11 (clone of 22009)
22011,22009,12,0,0,53,52,0,0,0,2,guard-standard tier PL 12 (clone of 22009)
22012,22009,13,0,0,54,53,0,0,0,2,guard-standard tier PL 13 (clone of 22009)
22013,22009,14,0,0,55,54,0,0,0,2,guard-standard tier PL 14 (clone of 22009)
22014,22009,15,0,0,56,55,0,0,0,2,guard-standard tier PL 15 (clone of 22009)
22015,22009,16,0,0,58,56,0,0,0,2,guard-standard tier PL 16 (clone of 22009)
22016,22009,17,0,0,59,57,0,0,0,2,guard-standard tier PL 17 (clone of 22009)
22017,22009,18,0,0,60,58,0,0,0,2,guard-standard tier PL 18 (clone of 22009)
22018,22009,19,0,0,61,59,0,0,0,2,guard-standard tier PL 19 (clone of 22009)
22019,22009,20,0,0,62,60,0,0,0,2,guard-standard tier PL 20 (clone of 22009)
901020,22300,1,65,65,20,20,1,0,0,2,heavy tier PL 1 (clone of 22300)
901021,22300,2,70,70,22,22,2,-2,0,2,heavy tier PL 2 (clone of 22300)
901022,22300,3,71,71,24,24,2,-2,0,2,heavy tier PL 3 (clone of 22300)
901023,22300,4,74,74,27,27,2,-2,0,2,heavy tier PL 4 (clone of 22300)
901024,22300,5,76,76,29,29,2,-2,0,2,heavy tier PL 5 (clone of 22300)
901025,22300,6,78,78,31,31,2,-2,0,2,heavy tier PL 6 (clone of 22300)
901026,22300,7,82,83,33,33,3,-2,0,2,heavy tier PL 7 (clone of 22300)
901027,22300,8,83,83,34,34,3,-2,0,2,heavy tier PL 8 (clone of 22300)
901028,22300,9,84,84,36,36,3,-2,0,2,heavy tier PL 9 (clone of 22300)
901029,22300,10,85,85,38,38,3,-2,0,2,heavy tier PL 10 (clone of 22300)
901030,22300,11,86,86,40,40,3,-2,0,2,heavy tier PL 11 (clone of 22300)
901031,22300,12,88,88,41,41,3,-2,0,2,heavy tier PL 12 (clone of 22300)
901032,22300,13,89,89,43,43,4,-2,0,2,heavy tier PL 13 (clone of 22300)
901033,22300,14,90,90,45,45,4,-2,0,2,heavy tier PL 14 (clone of 22300)
901034,22300,15,91,91,46,46,4,-2,0,2,heavy tier PL 15 (clone of 22300)
901035,22300,16,91,91,48,48,4,-2,0,2,heavy tier PL 16 (clone of 22300)
901036,22300,17,92,92,49,49,5,-2,0,2,heavy tier PL 17 (clone of 22300)
901037,22300,18,93,93,51,51,5,-2,0,2,heavy tier PL 18 (clone of 22300)
901038,22300,19,94,94,52,52,5,-2,0,2,heavy tier PL 19 (clone of 22300)
901039,22300,20,94,94,53,53,5,-2,0,2,heavy tier PL 20 (clone of 22300)
22511,,1,65,58,20,18,2,0,0,2,"hovertank tier PL 1 - shipped row, retuned"
22512,,2,70,63,23,20,2,0,0,2,"hovertank tier PL 2 - shipped row, retuned"
22513,,3,74,67,26,22,2,0,0,2,"hovertank tier PL 3 - shipped row, retuned"
22514,,4,75,68,28,24,2,0,0,2,"hovertank tier PL 4 - shipped row, retuned"
22515,,5,77,68,31,26,3,0,0,2,"hovertank tier PL 5 - shipped row, retuned"
