MonsterTypeId,HitPoints,CritRate,ActionPoints,MovePoints,InitBonus,MaxTalentCount,FlankAllowance,SightDistance,DetectDistance,ShotLimit,EffectId,WeaponTypeId,ArmorTypeId,_comment
1,200,10,40,20,0,1,60,18,10,1,,20000,22000,PG 1 Guard PL 1  eff:0  armour:guard-standard weapon:guard-rifle
2,210,12,40,20,1,2,65,18,10,1,,20001,22001,PG 1 Guard PL 2  eff:0  armour:guard-standard weapon:guard-rifle
3,220,14,40,20,1,3,70,18,10,1,,20002,22002,PG 1 Guard PL 3  eff:0  armour:guard-standard weapon:guard-rifle
4,230,16,40,20,2,4,75,18,10,1,,20003,22003,PG 1 Guard PL 4  eff:0  armour:guard-standard weapon:guard-rifle
5,240,18,40,20,3,4,80,18,10,2,,20004,22004,PG 1 Guard PL 5  eff:0  armour:guard-standard weapon:guard-rifle
6,250,20,40,20,3,4,86,18,10,2,,20005,22005,PG 1 Guard PL 6  eff:0  armour:guard-standard weapon:guard-rifle
7,270,22,40,20,4,4,90,18,10,2,,20006,22006,PG 1 Guard PL 7  eff:0  armour:guard-standard weapon:guard-rifle
8,290,24,40,20,4,4,90,18,10,3,,20007,22007,PG 1 Guard PL 8  eff:0  armour:guard-standard weapon:guard-rifle
9,310,26,40,20,4,4,90,18,10,3,,20008,22008,PG 1 Guard PL 9  eff:0  armour:guard-standard weapon:guard-rifle
10,330,30,40,20,5,4,90,18,10,3,,20009,22009,PG 1 Guard PL 10  eff:0  armour:guard-standard weapon:guard-rifle
11,340,32,40,20,6,4,93,18,10,3,,20010,22010,PG 1 Guard PL 11  eff:0  armour:guard-standard weapon:guard-rifle
12,60000,0,0,0,0,2,90,18,10,0,,20000,22001,PG 12 Target Dummy PL 2  eff:0
13,140,0,0,0,0,2,90,18,10,0,,20000,22001,PG 13 Roboguard PL 1  eff:0
14,200,10,40,20,0,2,90,18,10,0,,20000,22001,PG 14 G-Attacker PL 1  eff:0
15,210,12,40,20,0,2,90,18,10,0,,22000,22001,PG 15 G-Friendly PL 2  eff:0
16,360,34,40,20,6,5,97,18,10,3,,20011,22011,PG 1 Guard PL 12  eff:0  armour:guard-standard weapon:guard-rifle
17,380,37,40,20,7,5,100,18,10,4,,20012,22012,PG 1 Guard PL 13  eff:0  armour:guard-standard weapon:guard-rifle
18,400,39,40,20,7,5,103,18,10,4,,20013,22013,PG 1 Guard PL 14  eff:0  armour:guard-standard weapon:guard-rifle
19,420,41,40,20,8,6,107,18,10,4,,20014,22014,PG 1 Guard PL 15  eff:0  armour:guard-standard weapon:guard-rifle
20,440,43,40,20,8,6,110,18,10,4,,20015,22015,PG 1 Guard PL 16  eff:0  armour:guard-standard weapon:guard-rifle
21,470,46,40,20,9,6,113,18,10,5,,20016,22016,PG 1 Guard PL 17  eff:0  armour:guard-standard weapon:guard-rifle
22,500,48,40,20,9,7,117,18,10,5,,20017,22017,PG 1 Guard PL 18  eff:0  armour:guard-standard weapon:guard-rifle
23,530,50,40,20,10,7,120,18,10,5,,20018,22018,PG 1 Guard PL 19  eff:0  armour:guard-standard weapon:guard-rifle
24,560,52,40,20,11,7,123,18,10,5,,20019,22019,PG 1 Guard PL 20  eff:0  armour:guard-standard weapon:guard-rifle
47,240,10,40,20,2,2,90,18,10,1,,23030,22300,PG 47 MEK Lead PL 1  eff:0
48,188,20,40,20,1,1,90,18,10,1,,22000,22202,PG 48 MK Crusher PL 1  eff:0
49,150,10,40,20,0,1,60,18,10,1,,20000,22001,PG 49 MK Midweight PL 1  eff:0
50,140,10,30,20,0,1,90,18,10,1,64105,11,22001,PG 50 Demo Guard PL 1  eff:64105
51,140,10,30,20,0,1,90,18,10,1,64105,10,22001,PG 51 Demo Bullpup PL 1  eff:64105
52,140,10,30,20,0,1,90,18,10,1,64105,11,21999,PG 52 Guard PL 1  eff:64105
53,140,10,30,20,0,1,90,18,10,1,64105,10,21999,PG 53 Guard PL 1  eff:64105
54,140,10,30,20,0,1,90,18,10,1,64105,10,21999,PG 54 Guard PL 1  eff:64105
55,140,10,30,20,0,1,90,18,10,1,64105,10,22200,PG 55 Armored Guard PL 1  eff:64105
56,140,10,30,20,0,1,90,18,10,1,64105,10,21999,PG 56 Final Guard PL 1  eff:64105
57,140,10,30,30,0,1,90,18,10,1,64105,11,21999,PG 57 Guard PL 1  eff:64105
58,164,10,40,20,0,1,60,18,10,1,,20000,22001,PG 58 Guard PL 1  eff:0
100,250,20,40,20,0,2,90,18,10,1,,22000,901000,PG 100 Guard Shotgun PL 1  eff:0  armour:adaptive weapon:shotgun
101,270,23,40,20,1,2,90,18,10,1,,22001,901001,PG 100 Guard Shotgun PL 2  eff:0  armour:adaptive weapon:shotgun
102,280,26,40,20,1,2,95,18,10,1,,22002,901002,PG 100 Guard Shotgun PL 3  eff:0  armour:adaptive weapon:shotgun
103,290,29,40,20,2,2,95,18,10,1,,22003,901003,PG 100 Guard Shotgun PL 4  eff:0  armour:adaptive weapon:shotgun
104,300,32,40,20,3,2,100,18,10,1,,22004,901004,PG 100 Guard Shotgun PL 5  eff:0  armour:adaptive weapon:shotgun
105,320,35,40,20,3,2,100,18,10,2,,22005,901005,PG 100 Guard Shotgun PL 6  eff:0  armour:adaptive weapon:shotgun
106,340,38,40,20,4,2,105,18,10,2,,22006,901006,PG 100 Guard Shotgun PL 7  eff:0  armour:adaptive weapon:shotgun
107,360,40,40,20,4,2,105,18,10,2,,22007,901007,PG 100 Guard Shotgun PL 8  eff:0  armour:adaptive weapon:shotgun
108,380,40,40,20,4,2,110,18,10,2,,22008,901008,PG 100 Guard Shotgun PL 9  eff:0  armour:adaptive weapon:shotgun
109,400,40,40,20,5,2,115,18,10,2,,22009,901009,PG 100 Guard Shotgun PL 10  eff:0  armour:adaptive weapon:shotgun
110,420,42,40,20,6,2,118,18,10,2,,22010,901010,PG 100 Guard Shotgun PL 11  eff:0  armour:adaptive weapon:shotgun
111,450,44,40,20,6,2,121,18,10,2,,22011,901011,PG 100 Guard Shotgun PL 12  eff:0  armour:adaptive weapon:shotgun
112,480,47,40,20,7,2,123,18,10,2,,22012,901012,PG 100 Guard Shotgun PL 13  eff:0  armour:adaptive weapon:shotgun
113,510,49,40,20,7,2,126,18,10,2,,22013,901013,PG 100 Guard Shotgun PL 14  eff:0  armour:adaptive weapon:shotgun
114,540,51,40,20,8,2,129,18,10,3,,22014,901014,PG 100 Guard Shotgun PL 15  eff:0  armour:adaptive weapon:shotgun
115,570,53,40,20,8,2,132,18,10,3,,22015,901015,PG 100 Guard Shotgun PL 16  eff:0  armour:adaptive weapon:shotgun
116,600,56,40,20,9,2,134,18,10,3,,22016,901016,PG 100 Guard Shotgun PL 17  eff:0  armour:adaptive weapon:shotgun
117,640,58,40,20,9,2,137,18,10,3,,22017,901017,PG 100 Guard Shotgun PL 18  eff:0  armour:adaptive weapon:shotgun
118,680,60,40,20,10,2,140,18,10,3,,22018,901018,PG 100 Guard Shotgun PL 19  eff:0  armour:adaptive weapon:shotgun
119,720,62,40,20,11,2,143,18,10,3,,22019,901019,PG 100 Guard Shotgun PL 20  eff:0  armour:adaptive weapon:shotgun
150,200,10,40,30,1,2,90,22,10,1,64108,23011,22100,PG 150 Divergent PL 1  eff:64108  armour:sniper weapon:corp-smg
151,210,12,40,30,1,2,90,22,10,1,64108,23012,22101,PG 150 Divergent PL 2  eff:64108  armour:sniper weapon:corp-smg
152,220,14,40,30,2,2,95,22,10,1,64109,23013,22102,PG 150 Divergent PL 3  eff:64109  armour:sniper weapon:corp-smg
153,230,16,40,30,2,2,95,22,10,2,64109,23014,22103,PG 150 Divergent PL 4  eff:64109  armour:sniper weapon:corp-smg
154,240,18,40,30,3,2,100,22,10,2,64110,23015,22104,PG 150 Divergent PL 5  eff:64110  armour:sniper weapon:corp-smg
155,250,20,40,30,4,2,100,22,10,2,64110,23016,22105,PG 150 Divergent PL 6  eff:64110  armour:sniper weapon:corp-smg
156,260,22,40,30,5,2,105,22,10,2,64110,23017,22116,PG 150 Divergent PL 7  eff:64110  armour:sniper weapon:corp-smg
157,280,24,40,30,6,2,105,22,10,3,64110,23018,22117,PG 150 Divergent PL 8  eff:64110  armour:sniper weapon:corp-smg
158,300,26,40,30,6,2,110,22,10,3,64110,23019,22118,PG 150 Divergent PL 9  eff:64110  armour:sniper weapon:corp-smg
159,320,30,40,30,7,2,115,22,10,3,64110,23020,22119,PG 150 Divergent PL 10  eff:64110  armour:sniper weapon:corp-smg
160,250,10,40,20,1,2,60,18,10,1,,20000,901000,PG 160 FireCOM PL 1  eff:0  armour:adaptive weapon:guard-rifle
