WeaponId,_clone,PowerLevel,Accuracy1,BallisticDamage1,PhysicalDamage1,PureDamage1,ActionPoints1,ArmorCritRate1,RecoilRate1,OptimalRangeA1,OptimalRangeB1,ShotVolume,FAShots,MaxRange,CritMultiBase,ReloadClipMax,AmmoUsed1,Accuracy2,BallisticDamage2,PhysicalDamage2,PureDamage2,ActionPoints2,ArmorCritRate2,RecoilRate2,OptimalRangeA2,OptimalRangeB2,_comment
900160,52,1,65,0,300,30,20,30,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 1 (clone of 52)
900161,5001,2,66,0,319,32,20,32,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 2 (clone of 5001)
900162,5003,3,67,0,340,34,20,34,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 3 (clone of 5003)
900163,5004,4,67,0,362,36,20,37,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 4 (clone of 5004)
900164,5005,5,68,0,385,39,20,39,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 5 (clone of 5005)
900165,5006,6,69,0,409,41,20,41,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 6 (clone of 5006)
900166,5013,7,70,0,436,44,20,43,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 7 (clone of 5013)
900167,5014,8,70,0,464,46,20,46,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 8 (clone of 5014)
900168,5015,9,71,0,493,49,20,48,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 9 (clone of 5015)
900169,5016,10,72,0,525,53,20,50,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 10 (clone of 5016)
900010,5016,11,73,0,559,56,20,52,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 11 (clone of 5016)
900011,5016,12,74,0,595,60,20,54,4,0,2,0,0,2,0,0,0,0,0,,0,0,0,0,0,0,blade5 tier PL 12 (clone of 5016)
